No,Country,Region,Pwrindx,Total Population,Available Manpower,Fit-For-Service,Reaching Military Age Annually,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Fighters,Attack,Transports,Trainers,Total Helicopter Strength,Attack Helicopters,Combat Tanks,Armored Fighting Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Total Naval Assets,Aircraft Carriers,Frigates,Destroyers,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Proven Reserves,Labor Force,Merchant Marine Strength,"Major Ports, Hubs & Terminals",Roadway Coverage,Railway Coverage,Servicable Airports,Defense Budget,External Debt,Reserves of Foreign Exchange & Gold,Purchasing Power Parity,Square Land Area,Coastline,Shared Border,Waterways
1,United States ,America,0.08,326625791,14521500,12002500,4220000,2083100,1281900,801200,"13,362.00","1,962.00","2,830.00","5,248.00","2,856.00","5,758.00",973,"5,884.00","38,822.00",950,795,"1,197.00",415,20,10,65,0,66,13,11,8853000,19000000,36520000000,"160,400,000.00","3,611.00",24,6586610,224792,"13,513.00","647,000,000,000.00","17,910,000,000,000.00","117,300,000,000.00","19,360,000,000,000.00",9826675,19924,12048,41009
2,Russia,Europe,0.08,142257519,70000000,47000000,1355000,3586128,1013628,2572500,"3,914.00",818,"1,416.00","1,524.00",414,"1,451.00",511,"20,300.00","27,400.00","5,970.00","4,466.00","3,816.00",352,1,9,13,78,62,41,47,10550000,3320000,80000000000,"76,530,000.00","2,572.00",7,982000,87157,"1,218.00","47,000,000,000.00","451,500,000,000.00","418,500,000,000.00","4,000,000,000,000.00",17098242,37653,22408,102000
3,China,Asia,0.09,1379302771,750000000,619000000,19550000,2693000,2183000,510000,"3,035.00","1,125.00","1,527.00",722,353,985,281,"7,716.00","9,000.00","2,000.00","6,246.00","2,050.00",714,1,50,29,39,73,220,29,3981000,10120000,25620000000,"806,700,000.00","4,287.00",15,3860800,86000,507,"151,000,000,000.00","1,649,000,000,000.00","3,194,000,000,000.00","23,120,000,000,000.00",9596961,14500,22457,110000
4,India,Asia,0.14,1281935911,616000000,489600000,22900000,4207250,1362500,2844750,"2,185.00",590,804,708,251,720,15,"4,426.00","3,147.00",190,"4,158.00",266,295,1,14,11,22,16,139,4,734500,3510000,4621000000,"521,900,000.00","1,674.00",7,3320410,63974,346,"47,000,000,000.00","483,400,000,000.00","407,200,000,000.00","9,447,000,000,000.00",3287263,7000,13888,14500
5,France,Europe,0.19,67106161,30000000,23750000,775000,388635,205000,183635,"1,262.00",299,299,433,245,570,54,406,"6,330.00",109,12,13,118,4,11,12,0,10,18,18,16420,1770000,72350000,"30,680,000.00",555,14,951200,29640,464,"40,000,000,000.00","5,360,000,000,000.00","146,800,000,000.00","2,826,000,000,000.00",643801,4853,4072,8501
6,United Kingdom,Europe,0.19,64769452,30000000,24040000,750000,279230,197730,81500,832,103,143,297,342,333,49,227,"5,371.00",89,126,35,76,2,13,6,0,10,21,13,933000,1510000,2564000000,"33,500,000.00","1,551.00",14,394428,16454,460,"50,000,000,000.00","8,126,000,000,000.00","135,000,000,000.00","2,880,000,000,000.00",243610,12429,443,3200
7,South Korea,Asia,0.2,51181299,25610000,21035000,690000,5827250,625000,5202250,"1,560.00",406,466,382,276,748,112,"2,654.00","3,480.00","1,890.00","3,854.00",214,166,1,12,12,14,16,69,11,0,2325000,0,2747000,"1,907.00",8,103029,3381,111,"40,000,000,000.00","376,900,000,000.00","374,800,000,000.00","2,027,000,000,000.00",99720,2413,237,1600
8,Japan,Asia,0.21,126451398,54000000,4400000,1215000,310457,247157,63300,"1,508.00",290,290,486,404,622,84,679,"3,178.00",202,500,99,131,4,0,36,6,17,6,25,3918,4530800,44120000,"67,770,000.00","5,289.00",10,1210251,27182,175,"44,000,000,000.00","3,240,000,000,000.00","1,217,000,000,000.00","5,405,000,000,000.00",377915,29751,0,1770
9,Turkey,Europe,0.22,80845215,41640000,35010000,1375000,710565,350000,360565,"1,056.00",207,207,445,287,475,54,"2,446.00","9,031.00","1,108.00",872,418,194,0,16,0,10,12,34,11,49500,720000,388500000,"31,300,000.00","1,285.00",9,352046,8699,98,"10,200,000,000.00","429,600,000,000.00","107,500,000,000.00","2,133,000,000,000.00",783562,7200,2816,1200
10,Germany,Europe,0.25,80594017,37000000,29540000,791000,208641,178641,30000,714,94,181,381,52,384,58,432,"4,620.00",123,0,38,81,0,10,0,5,6,0,12,46590,2400000,145400000,"45,900,000.00",614,13,644480,41981,539,"45,200,000,000.00","5,326,000,000,000.00","185,300,000,000.00","4,150,000,000,000.00",357022,2389,3694,7467
